,company_name,location,experience,posted_date,skills,more_info
0,TandAHRSolutions,Mohali,l3 - 5 yrs,Posted few days ago,"Djangoframework,PythonDeveloper,corepython
",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp
1,BoschLtd,"Coimbatore,Bengaluru/Bangalore",l2 - 5 yrs,Posted 5 days ago,"docker,git,oops,api,rest,python
",https://www.timesjobs.com/job-detail/python-developer-bosch-ltd-coimbatore-bengaluru-bangalore-2-to-5-yrs-jobid-0Q0qSaEBHPVzpSvf__PLUS__uAgZw==&source=srp
2,ValueLabs,Hyderabad/Secunderabad,l7 - 10 yrs,Posted few days ago,"
python,database,shellscripting,perl,unix,sql",https://www.timesjobs.com/job-detail/python-developer-valuelabs-hyderabad-secunderabad-7-to-10-yrs-jobid-ocUK970ERO9zpSvf__PLUS__uAgZw==&source=srp
3,TECHNOPARKTRIVANDRUM,Thiruvananthapuram,l4 - 6 yrs,Posted few days ago,"
python,devops,machinelearning",https://www.timesjobs.com/job-detail/python-aws-technopark-trivandrum-thiruvananthapuram-4-to-6-yrs-jobid-DTeIKyAEWsNzpSvf__PLUS__uAgZw==&source=srp
4,SpliceGlobalServicesPvtLtd,Gurgaon,l2 - 5 yrs,Posted 6 days ago,"
python,django,git,postgresql,oops,linux,mysql",https://www.timesjobs.com/job-detail/python-developer-splice-global-services-pvt-ltd-gurgaon-2-to-5-yrs-jobid-Jnds36iU0vVzpSvf__PLUS__uAgZw==&source=srp
5,fastraxinfotech,Ahmedabad,l2 - 5 yrs,Posted 1 day ago,"algorithms,python,svn,sql,security,django,git,mysql",https://www.timesjobs.com/job-detail/python-developer-fastrax-infotech-ahmedabad-2-to-5-yrs-jobid-P__PLUS__aHj6QPvfhzpSvf__PLUS__uAgZw==&source=srp
6,MerkleInc.,,l2 - 3 yrs,Posted 1 day ago,"softwaredesign,docker,sql,git,devops,debugging,crm,python,mobile,nosql",https://www.timesjobs.com/job-detail/python-developer-merkle-inc-2-to-3-yrs-jobid-i2BxcXOYFutzpSvf__PLUS__uAgZw==&source=srp
7,MerkleInc.,Spain,l2 - 3 yrs,Posted 1 day ago,"softwaredesign,devops,python,nosql,docker,sql,git,debugging,crm,mobile",https://www.timesjobs.com/job-detail/python-developer-merkle-inc-spain-2-to-3-yrs-jobid-Z1bk1636zJBzpSvf__PLUS__uAgZw==&source=srp
8,eastindiasecuritiesltd.,Kolkata,l2 - 5 yrs,Posted few days ago,"
python,hadoop,machinelearning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
9,YMGlobalTechnologiesPteLtd,Singapore,l4 - 7 yrs,Posted few days ago,"
python,apache,machinelearning",https://www.timesjobs.com/job-detail/python-developer-ym-global-technologies-pte-ltd-singapore-4-to-7-yrs-jobid-bRMEk1dtdLBzpSvf__PLUS__uAgZw==&source=srp
10,TandAHRSolutions,Chennai,l4 - 6 yrs,Posted few days ago,"EmbeddedWebUIdevelopment,OOPython,HTML",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chennai-4-to-6-yrs-jobid-5ms61F0XXyZzpSvf__PLUS__uAgZw==&source=srp
11,capgemini,"Pune,Bengaluru/Bangalore",l2 - 4 yrs,Posted 2 days ago,"
python,html5,machinelearning,javascript,artificialintelligence,django",https://www.timesjobs.com/job-detail/python-developer-capgemini-pune-bengaluru-bangalore-2-to-4-yrs-jobid-rtO1138aJAhzpSvf__PLUS__uAgZw==&source=srp
12,METADESIGNSOLUTIONS,Gurgaon,l2 - 5 yrs,Posted few days ago,"
python,django,html5,javascript",https://www.timesjobs.com/job-detail/python-developer-metadesign-solutions-gurgaon-2-to-5-yrs-jobid-2HZFYHdprdhzpSvf__PLUS__uAgZw==&source=srp
13,ZealogicsLLC.,,l0 - 3 yrs,Posted few days ago,"san,python,css,javascript,jquery,django,html",https://www.timesjobs.com/job-detail/python-developer-zealogics-llc-0-to-3-yrs-jobid-nwpyNJv5Ro9zpSvf__PLUS__uAgZw==&source=srp
14,capgemini,"Hyderabad/Secunderabad,Chennai,Pune",l2 - 3 yrs,Posted few days ago,"securitycompliance,python,html5,mobile,javascript,database,django,pythonscripting,forms",https://www.timesjobs.com/job-detail/python-developer-capgemini-hyderabad-secunderabad-chennai-pune-2-to-3-yrs-jobid-OlyVv3ULlwlzpSvf__PLUS__uAgZw==&source=srp
15,RandstadMENA,"Hyderabad/Secunderabad,Bengaluru/Bangalore",l0 - 3 yrs,Posted few days ago,"securitycompliance,python,html5,mobile,javascript,database,django,pythonscripting",https://www.timesjobs.com/job-detail/python-developer-randstad-mena-hyderabad-secunderabad-bengaluru-bangalore-0-to-3-yrs-jobid-VFEVBt0UjV5zpSvf__PLUS__uAgZw==&source=srp
